Name:  ALHA 77005
Type:  Stony Meteorites
Class:  Achondrite
Subclass:  Shergottite
Particle Size:  0-75 micrometers
Sample No.:  ALHA 77005
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite found in Antarctica in 1977.  Smithsonian sample (USNM sample No. ALHA 77005.38).
Collection Date: N/A
Description:  None.
Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional Information: jhu.becknic.meteorite.achondrite.shergottite.fine.a77005.ancillary.txt

 8.541	 1.215
 8.527	 1.233
 8.513	 1.245
 8.499	 1.266
 8.485	 1.292
 8.471	 1.324
 8.457	 1.353
 8.443	 1.377
 8.430	 1.402
 8.416	 1.429
 8.402	 1.457
 8.389	 1.498
 8.375	 1.538
 8.361	 1.572
 8.348	 1.610
 8.335	 1.662
 8.321	 1.704
 8.308	 1.742
 8.295	 1.789
 8.281	 1.834
 8.268	 1.874
 8.255	 1.925
 8.242	 1.984
 8.229	 2.039
 8.216	 2.100
 8.203	 2.164
 8.190	 2.224
 8.177	 2.283
 8.164	 2.354
 8.151	 2.424
 8.138	 2.481
 8.126	 2.544
 8.113	 2.620
 8.100	 2.691
 8.088	 2.756
 8.075	 2.833
 8.062	 2.909
 8.050	 2.972
 8.037	 3.044
 8.025	 3.116
 8.013	 3.180
 8.000	 3.249
 7.988	 3.324
 7.976	 3.382
 7.963	 3.446
 7.951	 3.524
 7.939	 3.583
 7.927	 3.627
 7.915	 3.681
 7.903	 3.745
 7.891	 3.792
 7.879	 3.836
 7.867	 3.892
 7.855	 3.945
 7.843	 3.994
 7.831	 4.043
 7.819	 4.095
 7.808	 4.141
 7.796	 4.192
 7.784	 4.239
 7.772	 4.280
 7.761	 4.320
 7.749	 4.360
 7.737	 4.397
 7.726	 4.428
 7.715	 4.468
 7.703	 4.502
 7.692	 4.526
 7.680	 4.548
 7.669	 4.580
 7.657	 4.604
 7.646	 4.628
 7.635	 4.660
 7.624	 4.689
 7.613	 4.721
 7.601	 4.749
 7.590	 4.777
 7.579	 4.808
 7.568	 4.854
 7.557	 4.902
 7.546	 4.938
 7.535	 4.982
 7.524	 5.025
 7.513	 5.064
 7.502	 5.106
 7.492	 5.150
 7.481	 5.190
 7.470	 5.224
 7.459	 5.272
 7.449	 5.324
 7.438	 5.362
 7.427	 5.402
 7.417	 5.447
 7.406	 5.492
 7.395	 5.528
 7.385	 5.570
 7.374	 5.609
 7.364	 5.638
 7.353	 5.665
 7.343	 5.705
 7.333	 5.729
 7.322	 5.749
 7.312	 5.781
 7.302	 5.803
 7.291	 5.822
 7.281	 5.851
 7.271	 5.879
 7.261	 5.902
 7.251	 5.931
 7.240	 5.966
 7.230	 5.987
 7.220	 6.011
 7.210	 6.045
 7.200	 6.072
 7.190	 6.094
 7.180	 6.112
 7.170	 6.134
 7.160	 6.156
 7.151	 6.173
 7.141	 6.195
 7.131	 6.211
 7.121	 6.229
 7.111	 6.257
 7.102	 6.277
 7.092	 6.297
 7.082	 6.329
 7.072	 6.363
 7.063	 6.391
 7.053	 6.415
 7.044	 6.445
 7.034	 6.483
 7.025	 6.520
 7.015	 6.558
 7.006	 6.587
 6.996	 6.605
 6.987	 6.634
 6.977	 6.659
 6.968	 6.668
 6.959	 6.688
 6.949	 6.725
 6.940	 6.746
 6.931	 6.762
 6.921	 6.773
 6.912	 6.778
 6.903	 6.787
 6.894	 6.814
 6.885	 6.829
 6.875	 6.832
 6.866	 6.839
 6.857	 6.863
 6.848	 6.899
 6.839	 6.921
 6.830	 6.938
 6.821	 6.955
 6.812	 6.973
 6.803	 6.996
 6.794	 7.017
 6.785	 7.037
 6.777	 7.061
 6.768	 7.086
 6.759	 7.098
 6.750	 7.110
 6.741	 7.117
 6.733	 7.118
 6.724	 7.122
 6.715	 7.132
 6.707	 7.129
 6.698	 7.114
 6.689	 7.103
 6.681	 7.092
 6.672	 7.088
 6.663	 7.091
 6.655	 7.090
 6.646	 7.060
 6.638	 7.027
 6.629	 7.036
 6.621	 7.050
 6.612	 7.042
 6.604	 7.043
 6.596	 7.047
 6.587	 7.049
 6.579	 7.040
 6.571	 7.037
 6.562	 7.046
 6.554	 7.051
 6.546	 7.062
 6.537	 7.070
 6.529	 7.067
 6.521	 7.067
 6.513	 7.076
 6.505	 7.065
 6.496	 7.038
 6.488	 7.042
 6.480	 7.058
 6.472	 7.062
 6.464	 7.063
 6.456	 7.059
 6.448	 7.053
 6.440	 7.048
 6.432	 7.038
 6.424	 7.017
 6.416	 6.987
 6.408	 6.988
 6.400	 6.997
 6.392	 6.992
 6.384	 6.987
 6.377	 6.968
 6.369	 6.937
 6.361	 6.925
 6.353	 6.912
 6.345	 6.887
 6.338	 6.876
 6.330	 6.873
 6.322	 6.857
 6.314	 6.845
 6.307	 6.843
 6.299	 6.844
 6.291	 6.830
 6.284	 6.822
 6.276	 6.820
 6.269	 6.805
 6.261	 6.797
 6.253	 6.803
 6.246	 6.794
 6.239	 6.789
 6.231	 6.797
 6.223	 6.801
 6.216	 6.798
 6.209	 6.798
 6.201	 6.800
 6.194	 6.795
 6.186	 6.786
 6.179	 6.794
 6.172	 6.801
 6.164	 6.802
 6.157	 6.806
 6.150	 6.811
 6.142	 6.807
 6.135	 6.798
 6.128	 6.784
 6.121	 6.750
 6.113	 6.710
 6.106	 6.686
 6.099	 6.651
 6.092	 6.605
 6.085	 6.554
 6.078	 6.489
