Name:  Reddish brown fine sandy loam
Type:  Soils
Class:  Alfisol
Subclass:  Paleustalf
Particle Size:  see additional information
Sample No.:  87P2376
Owner:  JHU
Wavelength range:  All
Origin:  Howard Co. Tx. via USDA Soil Conservation service.
Collection Date: N/A
Description:  The parent  material is eolian from level or undulating plains.  Reddish brown fine sandy loam (fine-loamy, mixed thermic aridic).
Measurement:  Directional (10 degree) hemispherical reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0112
Last X Value:  0.4000
Number of X Values:  2844
Additional information:  87P2376a.txt

 4.675	11.055
 4.670	11.313
 4.666	11.630
 4.662	11.971
 4.658	12.312
 4.654	12.644
 4.649	12.967
 4.645	13.289
 4.641	13.605
 4.637	13.914
 4.633	14.209
 4.629	14.478
 4.625	14.716
 4.620	14.922
 4.616	15.101
 4.612	15.257
 4.608	15.394
 4.604	15.515
 4.600	15.623
 4.596	15.718
 4.592	15.797
 4.588	15.861
 4.584	15.908
 4.580	15.936
 4.576	15.944
 4.572	15.929
 4.567	15.891
 4.564	15.828
 4.559	15.732
 4.556	15.598
 4.551	15.423
 4.548	15.205
 4.543	14.947
 4.540	14.658
 4.536	14.347
 4.532	14.014
 4.528	13.656
 4.524	13.268
 4.520	12.850
 4.516	12.408
 4.512	11.960
 4.508	11.529
 4.504	11.141
 4.500	10.812
 4.496	10.549
 4.492	10.347
 4.488	10.195
 4.485	10.075
 4.481	 9.972
 4.477	 9.885
 4.473	 9.821
 4.469	 9.796
 4.465	 9.822
 4.461	 9.908
 4.458	10.050
 4.454	10.226
 4.450	10.412
 4.446	10.592
 4.442	10.757
 4.439	10.907
 4.435	11.049
 4.431	11.192
 4.427	11.342
 4.423	11.505
 4.420	11.679
 4.416	11.867
 4.412	12.069
 4.408	12.283
 4.404	12.512
 4.401	12.758
 4.397	13.021
 4.393	13.300
 4.390	13.591
 4.386	13.891
 4.382	14.199
 4.378	14.509
 4.375	14.822
 4.371	15.138
 4.367	15.449
 4.364	15.747
 4.360	16.025
 4.356	16.281
 4.353	16.515
 4.349	16.725
 4.346	16.916
 4.342	17.088
 4.338	17.239
 4.335	17.366
 4.331	17.466
 4.327	17.538
 4.324	17.580
 4.320	17.594
 4.316	17.581
 4.313	17.547
 4.309	17.497
 4.306	17.436
 4.302	17.375
 4.299	17.323
 4.295	17.290
 4.292	17.278
 4.288	17.289
 4.284	17.322
 4.281	17.371
 4.277	17.437
 4.274	17.527
 4.270	17.646
 4.267	17.800
 4.263	17.977
 4.260	18.155
 4.256	18.311
 4.253	18.419
 4.249	18.476
 4.246	18.485
 4.242	18.468
 4.239	18.450
 4.235	18.453
 4.232	18.485
 4.229	18.546
 4.225	18.628
 4.222	18.721
 4.218	18.811
 4.215	18.891
 4.211	18.956
 4.208	19.007
 4.205	19.049
 4.201	19.085
 4.198	19.128
 4.194	19.188
 4.191	19.273
 4.188	19.381
 4.184	19.504
 4.181	19.639
 4.177	19.775
 4.174	19.904
 4.171	20.024
 4.167	20.141
 4.164	20.256
 4.161	20.369
 4.157	20.479
 4.154	20.588
 4.151	20.695
 4.147	20.793
 4.144	20.888
 4.141	20.987
 4.137	21.089
 4.134	21.199
 4.131	21.322
 4.128	21.457
 4.124	21.596
 4.121	21.735
 4.118	21.875
 4.114	22.011
