Name:  ALHA 77155
Type:  Stony Meteorites
Class:  Ordinary Chondrite
Subclass:  L6
Particle Size:  0-75 micrometers
Sample No.:  ALHA 77155
Owner:  JHU
Wavelength range:  IR
Origin:  Meteorite found in Antarctica in 1977.  Smithsonian sample No. USNM  ALHA 77155.12.
Collection Date: N/A
Description:  None.
Measurement:  Bidirectional reflectance
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  25.044
Last X Value:  2.0795
Number of X Values:  2286
Additional Information: jhu.becknic.meteorite.chondrite.l6.fine.a77155.ancillary.txt

 5.760	 5.117
 5.754	 5.112
 5.747	 5.101
 5.741	 5.087
 5.735	 5.069
 5.728	 5.053
 5.722	 5.035
 5.716	 5.018
 5.709	 4.996
 5.703	 4.978
 5.697	 4.960
 5.691	 4.932
 5.684	 4.910
 5.678	 4.889
 5.672	 4.872
 5.666	 4.866
 5.660	 4.861
 5.653	 4.859
 5.647	 4.865
 5.641	 4.875
 5.635	 4.892
 5.629	 4.913
 5.623	 4.933
 5.617	 4.963
 5.611	 5.003
 5.604	 5.044
 5.598	 5.082
 5.592	 5.109
 5.586	 5.142
 5.580	 5.184
 5.574	 5.222
 5.568	 5.255
 5.562	 5.280
 5.556	 5.300
 5.551	 5.321
 5.545	 5.338
 5.539	 5.354
 5.533	 5.362
 5.527	 5.362
 5.521	 5.368
 5.515	 5.380
 5.509	 5.383
 5.503	 5.383
 5.497	 5.384
 5.492	 5.381
 5.486	 5.373
 5.480	 5.372
 5.474	 5.387
 5.468	 5.398
 5.463	 5.393
 5.457	 5.397
 5.451	 5.415
 5.446	 5.427
 5.440	 5.442
 5.434	 5.460
 5.428	 5.473
 5.423	 5.487
 5.417	 5.513
 5.411	 5.531
 5.406	 5.547
 5.400	 5.564
 5.394	 5.575
 5.389	 5.597
 5.383	 5.615
 5.378	 5.628
 5.372	 5.644
 5.367	 5.651
 5.361	 5.663
 5.356	 5.677
 5.350	 5.683
 5.345	 5.686
 5.339	 5.690
 5.333	 5.690
 5.328	 5.690
 5.322	 5.695
 5.317	 5.693
 5.312	 5.680
 5.306	 5.675
 5.301	 5.673
 5.295	 5.663
 5.290	 5.646
 5.285	 5.642
 5.279	 5.640
 5.274	 5.630
 5.268	 5.625
 5.263	 5.617
 5.258	 5.614
 5.252	 5.614
 5.247	 5.615
 5.242	 5.613
 5.237	 5.606
 5.231	 5.604
 5.226	 5.606
 5.221	 5.612
 5.215	 5.608
 5.210	 5.602
 5.205	 5.601
 5.200	 5.597
 5.194	 5.589
 5.189	 5.586
 5.184	 5.582
 5.179	 5.580
 5.174	 5.578
 5.169	 5.581
 5.163	 5.591
 5.158	 5.601
 5.153	 5.607
 5.148	 5.621
 5.143	 5.639
 5.138	 5.656
 5.133	 5.675
 5.128	 5.691
 5.123	 5.704
 5.118	 5.719
 5.113	 5.739
 5.107	 5.755
 5.103	 5.767
 5.098	 5.780
 5.093	 5.793
 5.088	 5.805
 5.082	 5.823
 5.077	 5.836
 5.073	 5.847
 5.068	 5.864
 5.063	 5.876
 5.058	 5.888
 5.053	 5.907
 5.048	 5.919
 5.043	 5.930
 5.038	 5.942
 5.033	 5.957
 5.028	 5.964
 5.023	 5.968
 5.019	 5.982
 5.014	 5.992
 5.009	 5.992
 5.004	 5.999
 4.999	 6.008
 4.994	 6.012
 4.990	 6.012
 4.985	 6.013
 4.980	 6.021
 4.975	 6.041
 4.970	 6.053
 4.966	 6.064
 4.961	 6.076
 4.956	 6.090
 4.951	 6.111
 4.947	 6.128
 4.942	 6.151
 4.937	 6.174
 4.933	 6.196
 4.928	 6.213
 4.923	 6.231
 4.919	 6.255
 4.914	 6.280
