Name: Purple Quartzite 
Type:  Rocks
Class:  Metamorphic 
Subclass: Quartzite
Particle Size:  500-1500 Micrometer
Sample No.:   qrtzit4.doc
Owner:  JHU
Wavelength Range:  All
Origin:  Sample No. 378, The Hunt and Salisbury Collection at the U.S. Geological Survey, Denver, Co.
Collection Date: N/A
Description: A schistose sample consisting of medium to coarse-grained recrystallized quartz with some muscovite that often contains ferruginous material.  In addition there are scattered opaques present in this sample.  The modal analyses for this rock are 88.2% quartz, 7.2% muscovite, 3.5% opaques and 1.1% other.  
Measurement:  Directional (10 Degree) Hemispherical Reflectance
First Column:  X
Second Column:  Y  
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value: 14.9831	
Last X Value:  0.4
Number of X Values: 2868
Additional Information: jhu.becknic.rock.metamorphic.quartzite.coarse.qrtzit4.ancillary.txt

 6.803	 0.680
 6.794	 0.705
 6.785	 0.742
 6.777	 0.761
 6.768	 0.757
 6.759	 0.752
 6.750	 0.748
 6.741	 0.746
 6.733	 0.750
 6.724	 0.749
 6.715	 0.756
 6.707	 0.766
 6.698	 0.780
 6.689	 0.794
 6.681	 0.800
 6.672	 0.819
 6.663	 0.827
 6.655	 0.810
 6.646	 0.820
 6.638	 0.845
 6.629	 0.849
 6.621	 0.830
 6.612	 0.830
 6.604	 0.864
 6.596	 0.867
 6.587	 0.850
 6.579	 0.870
 6.571	 0.865
 6.562	 0.871
 6.554	 0.864
 6.546	 0.875
 6.537	 0.876
 6.529	 0.875
 6.521	 0.910
 6.513	 0.917
 6.505	 0.914
 6.496	 0.952
 6.488	 0.942
 6.480	 0.945
 6.472	 0.960
 6.464	 0.965
 6.456	 0.982
 6.448	 0.993
 6.440	 1.017
 6.432	 1.021
 6.424	 0.996
 6.416	 1.007
 6.408	 1.036
 6.400	 1.027
 6.392	 1.007
 6.384	 1.006
 6.377	 1.010
 6.369	 0.990
 6.361	 0.970
 6.353	 0.973
 6.345	 0.982
 6.338	 1.011
 6.330	 1.020
 6.322	 0.996
 6.314	 0.964
 6.307	 0.956
 6.299	 0.989
 6.291	 1.001
 6.284	 1.000
 6.276	 1.006
 6.269	 0.996
 6.261	 0.969
 6.253	 0.974
 6.246	 0.962
 6.239	 0.976
 6.231	 0.980
 6.223	 0.953
 6.216	 0.957
 6.209	 0.997
 6.201	 0.990
 6.194	 0.967
 6.186	 0.957
 6.179	 0.945
 6.172	 0.984
 6.164	 1.010
 6.157	 1.002
 6.150	 1.000
 6.142	 1.006
 6.135	 1.008
 6.128	 1.031
 6.121	 1.050
 6.113	 1.069
 6.106	 1.081
 6.099	 1.097
 6.092	 1.100
 6.085	 1.110
 6.078	 1.138
 6.070	 1.138
 6.063	 1.127
 6.056	 1.135
 6.049	 1.135
 6.042	 1.125
 6.035	 1.140
 6.028	 1.162
 6.021	 1.170
 6.014	 1.166
 6.007	 1.167
 6.000	 1.170
 5.993	 1.160
 5.986	 1.164
 5.979	 1.162
 5.973	 1.156
 5.966	 1.167
 5.959	 1.153
 5.952	 1.152
 5.945	 1.175
 5.938	 1.176
 5.931	 1.163
 5.925	 1.185
 5.918	 1.196
 5.911	 1.191
 5.904	 1.204
 5.898	 1.206
 5.891	 1.214
 5.884	 1.234
 5.878	 1.250
 5.871	 1.273
 5.864	 1.290
 5.858	 1.293
 5.851	 1.273
 5.845	 1.264
 5.838	 1.294
 5.831	 1.332
 5.825	 1.345
 5.818	 1.355
 5.812	 1.361
 5.805	 1.368
 5.799	 1.402
 5.792	 1.417
 5.786	 1.416
 5.779	 1.420
 5.773	 1.422
 5.767	 1.436
 5.760	 1.472
 5.754	 1.484
 5.747	 1.487
 5.741	 1.500
 5.735	 1.530
 5.728	 1.532
 5.722	 1.523
 5.716	 1.525
 5.709	 1.540
 5.703	 1.553
 5.697	 1.542
 5.691	 1.539
 5.684	 1.541
 5.678	 1.508
 5.672	 1.487
 5.666	 1.474
 5.660	 1.451
 5.653	 1.426
 5.647	 1.423
 5.641	 1.423
 5.635	 1.404
 5.629	 1.388
 5.623	 1.378
 5.617	 1.368
 5.611	 1.376
 5.604	 1.391
 5.598	 1.388
 5.592	 1.376
 5.586	 1.373
 5.580	 1.393
 5.574	 1.396
 5.568	 1.401
 5.562	 1.412
 5.556	 1.409
 5.551	 1.389
 5.545	 1.376
 5.539	 1.403
 5.533	 1.415
 5.527	 1.416
 5.521	 1.427
 5.515	 1.436
 5.509	 1.440
 5.503	 1.461
 5.497	 1.474
 5.492	 1.453
 5.486	 1.453
 5.480	 1.478
 5.474	 1.505
 5.468	 1.523
 5.463	 1.530
 5.457	 1.522
 5.451	 1.520
 5.446	 1.534
 5.440	 1.550
 5.434	 1.528
 5.428	 1.499
 5.423	 1.500
 5.417	 1.502
 5.411	 1.497
 5.406	 1.480
 5.400	 1.474
 5.394	 1.464
 5.389	 1.450
 5.383	 1.452
 5.378	 1.452
 5.372	 1.455
 5.367	 1.450
 5.361	 1.432
 5.356	 1.425
 5.350	 1.403
 5.345	 1.406
 5.339	 1.431
 5.333	 1.427
 5.328	 1.421
 5.322	 1.424
 5.317	 1.432
 5.312	 1.442
 5.306	 1.429
 5.301	 1.422
 5.295	 1.433
 5.290	 1.435
 5.285	 1.438
 5.279	 1.465
 5.274	 1.480
 5.268	 1.477
 5.263	 1.468
 5.258	 1.469
 5.252	 1.484
 5.247	 1.501
 5.242	 1.516
 5.237	 1.535
 5.231	 1.554
 5.226	 1.577
 5.221	 1.576
 5.215	 1.583
 5.210	 1.617
 5.205	 1.625
 5.200	 1.619
 5.194	 1.641
 5.189	 1.637
 5.184	 1.635
 5.179	 1.627
 5.174	 1.632
 5.169	 1.648
 5.163	 1.651
 5.158	 1.651
 5.153	 1.663
 5.148	 1.670
 5.143	 1.657
 5.138	 1.656
 5.133	 1.669
 5.128	 1.671
 5.123	 1.673
 5.118	 1.676
 5.113	 1.672
 5.107	 1.681
 5.103	 1.682
 5.098	 1.658
 5.093	 1.662
 5.088	 1.672
 5.082	 1.683
 5.077	 1.675
 5.073	 1.658
 5.068	 1.672
 5.063	 1.683
 5.058	 1.672
 5.053	 1.663
 5.048	 1.673
 5.043	 1.675
 5.038	 1.675
 5.033	 1.696
 5.028	 1.681
 5.023	 1.660
 5.019	 1.662
 5.014	 1.682
 5.009	 1.696
 5.004	 1.685
 4.999	 1.689
 4.994	 1.714
 4.990	 1.704
 4.985	 1.703
 4.980	 1.718
 4.975	 1.726
 4.970	 1.746
 4.966	 1.783
 4.961	 1.810
 4.956	 1.815
 4.951	 1.819
 4.947	 1.827
 4.942	 1.846
 4.937	 1.862
 4.933	 1.891
 4.928	 1.912
 4.923	 1.936
 4.919	 1.990
 4.914	 2.045
 4.909	 2.107
 4.905	 2.203
 4.900	 2.321
 4.895	 2.450
 4.891	 2.615
 4.886	 2.799
 4.881	 3.002
 4.877	 3.207
 4.872	 3.417
 4.868	 3.655
 4.863	 3.889
 4.859	 4.115
 4.854	 4.339
 4.849	 4.544
 4.845	 4.737
 4.840	 4.943
 4.836	 5.160
 4.832	 5.378
 4.827	 5.580
 4.822	 5.786
 4.818	 5.985
 4.814	 6.169
 4.809	 6.342
 4.805	 6.546
 4.800	 6.750
 4.796	 6.933
 4.791	 7.135
 4.787	 7.344
 4.782	 7.541
 4.778	 7.722
 4.774	 7.896
 4.769	 8.056
 4.765	 8.223
 4.761	 8.394
 4.756	 8.556
 4.752	 8.693
 4.747	 8.818
 4.743	 8.933
 4.739	 9.025
 4.734	 9.110
 4.730	 9.162
 4.726	 9.187
 4.721	 9.191
 4.717	 9.133
 4.713	 9.010
 4.709	 8.811
 4.704	 8.523
 4.700	 8.168
 4.696	 7.784
 4.691	 7.413
 4.687	 7.142
 4.683	 7.028
 4.679	 7.073
 4.675	 7.261
 4.670	 7.552
 4.666	 7.937
 4.662	 8.358
 4.658	 8.771
 4.654	 9.168
 4.649	 9.587
 4.645	10.041
 4.641	10.488
 4.637	10.936
 4.633	11.385
